Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
North Qilian grst, China|517|1351.31979200412|0.876069956414353|52.65|1.05|13.12|8.44284428442844|0.13|9.07|11.29|2.93|0.3
North Qilian grst, China|517|1277.90510548725|0.705791698579126|55.17|0.46|14.71|7.16471647164717|0.14|10.19|5.85|5.34|0.16
North Qilian grst, China|517|1318.72759744602|0.588096544459142|52.7|0.26|11.24|7.57875787578758|0.18|10.93|13.31|2.8|0.13
North Qilian grst, China|517|1302.41743868776|0.584755176894956|55.18|0.5|16.54|7.87578757875788|0.12|11.16|3.6|3.93|0.17
North Qilian grst, China|517|1328.59076029409|0.633574699334089|53.47|0.32|12.04|8.04680468046805|0.17|14.76|7.26|2.51|0.52
North Qilian grst, China|517|1360.27791589754|0.877635300081546|52.36|0.36|12.51|8.02880288028803|0.14|15.71|6.15|3.77|0.05
North Qilian grst, China|517|1363.03880116649|0.170168798701995|54.74|0.35|11.19|8.25382538253825|0.16|17.13|6.41|0.19|0.65
North Qilian grst, China|517|1405.29895590352|0.336895498391986|52.15|0.24|10.55|8.67686768676868|0.17|18.03|9.19|0.01|0.01
North Qilian grst, China|517|1437.96748806443|1.03657086208489|49.03|0.27|11.09|8.86588658865887|0.17|19|9.38|0.63|0.55
North Qilian grst, China|517|1417.65421628744|0.740639299497954|50.26|0.28|10.8|8.63186318631863|0.16|19.44|8.54|0.9|0.01
Tcherni Vrah oph, Bulgaria|563|1417.77923915878|1.34055023932337|49.2|1.51|14.43|9.46894689468947|0.16|8.24|10.87|2.36|0.05
Tcherni Vrah oph, Bulgaria|563|1313.13440824865|0.868953899340313|50.13|0.86|16.77|7.33573357335734|0.13|8.28|12.56|2.57|0.17
Tcherni Vrah oph, Bulgaria|563|1342.10827334928|1.28472206726289|48.74|0.9|19.82|7.88478847884788|0.12|8.3|13.03|2.59|0.18
Tcherni Vrah oph, Bulgaria|563|1458.82618252429|1.80583813179052|50.76|1.64|15.49|10.8640864086409|0.17|8.8|6.92|3.97|0.06
Tcherni Vrah oph, Bulgaria|563|1442.36580361732|1.87948767123749|49.35|1.44|16.5|10.2520252025203|0.14|9.18|9.34|3.54|0.1
Tcherni Vrah oph, Bulgaria|563|1355.95117295914|1.03079243197996|50.28|1.08|16.16|8.34383438343834|0.15|9.23|12.34|2.24|0.07
Tcherni Vrah oph, Bulgaria|563|1513.82308293341|2.53957570297484|47.74|1.66|17.08|11.7101710171017|0.17|9.24|7.71|3.21|0.3
Tcherni Vrah oph, Bulgaria|563|1433.44307628308|1.60513363856229|50.33|1.61|13.49|10.0540054005401|0.21|9.66|9.22|3.59|0.06
Tcherni Vrah oph, Bulgaria|563|1406.57162833551|0.52939297412463|56.63|1.39|14.46|10.4140414041404|0.14|9.71|1.22|2.44|0.31
Tcherni Vrah oph, Bulgaria|563|1459.12416400903|2.18513407456106|49.27|1.25|19.12|10.9270927092709|0.19|10.38|3.12|5.17|0.29
Zambian eclogite/gabbro|600|1438.94379179143|1.55633607913456|48.71|1|14.16|9.81998199819982|0.16|8.61|12.55|2.31|0.09
Zambian eclogite/gabbro|600|1403.25138281303|1.48446499572674|49.81|0.93|15.22|9.25292529252925|0.11|8.81|12.78|3.05|0.15
Miaowan ophiolite, N China|985|1478.0942706528|1.75631992936858|50.67|1.01|13.06|11.017101710171|0.23|8.13|10.28|2.8|0.32
Miaowan ophiolite, N China|985|1558.56926600233|2.60282983772525|48.39|1.14|13.08|12.4641314131413|0.22|8.37|11.48|2.26|0.16
Miaowan ophiolite, N China|985|1562.06626732964|2.59012242532349|49.16|1.14|12.28|12.7091359135914|0.22|8.65|10.15|2.49|0.42
Miaowan ophiolite, N China|985|1388.64967895396|1.11776438948084|49.02|0.8|15.27|8.82410441044105|0.17|9.23|12.97|1.56|0.16
Miaowan ophiolite, N China|985|1438.77369019486|1.79620201195258|45.9|0.75|13.22|9.12016201620162|0.16|14.57|12.03|1.86|0.22
Miaowan ophiolite, N China|985|1564.1912180051|2.79858064414787|43.51|0.66|12.44|10.3202340234023|0.19|16.73|10.51|1.57|0.17
Phulad ophiolite, India|1200|1491.26517110531|2.08174794318991|48.39|0.96|16.33|11.13|0.18|8.37|10.33|2.45|0.07
Phulad ophiolite, India|1200|1533.81261531957|2.35009412857454|47.46|1.17|14.86|11.82|0.17|8.62|12.16|1.51|0.09
Phulad ophiolite, India|1200|1483.15260268413|2.08003377222426|45.87|1.29|16.83|10.4860486048605|0.26|8.69|12|1.29|0.27
Phulad ophiolite, India|1200|1365.61138218516|1.26977621491232|49.68|1.08|16.86|8.57|0.17|9.8|10.49|2.9|0.13
Phulad ophiolite, India|1200|1274.06864686679|0.496566297749187|48.54|0.54|15.9|6.29|0.16|10.71|13.4|1.43|0.01
Phulad ophiolite, India|1200|1517.90794533487|2.45970039057463|46.95|1.31|13.27|11.2511251125113|0.16|14.72|7.85|1.84|0.92
Phulad ophiolite, India|1200|1679.1866614065|3.56508592401527|45.53|0.98|11.61|13.43|0.2|15.5|8.66|0.93|0.08
Phulad 'ophiolite', India|1300|1508.1331405622|1.71466999248973|48.11332995|0.455807317|11.57592019|10.1972823632871|0.393774511|17.34793738|10.42044947|0.710300003|0.596652003
