Location|Age|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Belingwe|2692|47.51|0.31|6.36|10.87|0.18|26.96|6.78|0.98|0.04
Belingwe|2692|45.57|0.39|8.21|10.94|0.17|27.02|6.12|0.08|0.15
Belingwe|2692|48.16|0.32|6.43|10.606|0.18|27.07|6.11|0.26|0.58
Belingwe|2692|47.35|0.32|6.39|11.07|0.18|27.23|6.71|0.67|0.03
Belingwe|2692|47.27|0.32|6.38|10.88|0.18|27.34|6.76|0.78|0.04
Belingwe|2692|47.31|0.3|6.29|10.73|0.18|27.63|6.59|1.17|0.05
Belingwe|2692|45.52|0.33|5.83|11.28|0.2|27.85|5.78|0.21|0.15
Belingwe|2692|47.12|0.3|6.11|10.62|0.18|28.5|6.21|0.83|0.09
Belingwe|2692|46.86|0.3|6.02|10.84|0.18|28.69|6.12|0.89|0.06
Belingwe|2692|46.46|0.32|6.85|10.54|0.16|28.83|5.53|0|0.2
Belingwe|2692|46.64|0.29|6.04|10.516|0.16|29.34|5.99|0.21|0.37
Belingwe|2692|47.4|0.26|6.06|10.377|0.18|29.57|5.42|0.11|0.24
Belingwe|2692|45.33|0.22|4.88|9.08|0.15|32.65|4.39|0.04|0.18
Abitibi|2697|47.84|0.58|8.29|11.529|0.23|18.12|10.5|0.92|0.21
Abitibi|2697|48.22|0.52|9.86|11.313|0.22|18.43|6.29|1.08|0.19
Abitibi|2697|48.22|0.52|9.86|11.313|0.22|18.43|6.29|1.08|0.19
Abitibi|2697|46.8|0.51|7.57|12.078|0.24|19.89|8.31|0.98|0.05
Abitibi|2697|47.17|0.5|7.58|11.493|0.256|21.7|9.22|0.19|0.14
Abitibi|2697|45.42|0.45|9.9|11.565|0.17|21.72|8.21|0.38|0.05
Abitibi|2697|46.72|0.46|7.41|11.475|0.26|23.33|7.92|0.25|0.1
Abitibi|2697|46.72|0.46|7.41|11.475|0.2562|23.53|7.92|0.25|0.1
Abitibi|2697|48.04|0.26|5.14|8.228|0.21|26.36|9.15|0.02|0.1
Southern Cross Belt|2700|48.95|0.5|9.68|9.53258741258741|0.18|17|8.37|1.57|0.07
Southern Cross Belt|2700|54.66|0.21|6.1|11.8531188811189|0.36|17.06|6.04|0.6|0.11
Southern Cross Belt|2700|47.8|0.43|8.72|11.31|0.2|17.07|8.94|1.22|0.078
Southern Cross Belt|2700|49|0.49|8.54|9.98223776223776|0.18|17.1|10.2|0.92|0.2
Southern Cross Belt|2700|49|0.55|9.4|9.53634965034965|0.17|17.2|9|0.22|0.55
Yilgarn|2700|50.26|0.35|10.33|10.73|0.15|17.21|8.64|0.76|0.33
Kautokeino gst Finland|2700|48|0.408|9.37|12.3|0.21|17.3|8.69|1.13|2.15
Vetreny Belt|2700|47.7|0.43|5.3|14.58|0.33|17.4|10|0.4|0.1
Belingwe|2700|49.25|1.11|5.99|13.4|0.23|17.5|10.28|0.66|0.09
Belingwe|2700|49.25|1.11|5.99|13.41|0.23|17.5|10.28|0.66|0.09
Yilgarn|2700|49.25|1.11|5.99|13.41|0.23|17.5|10.28|0.66|0.09
